id,name,type,spatial,url,focus,member of,parent,based in,orcid,employer,affiliated in,involved in,start,end,keywords,lead
P010,Anita Auer,,,,,,,,https://orcid.org/0009-0007-6302-5810,G055,G011,,,,,
P011,Elena Chestnova,,,,,,,,https://orcid.org/0000-0002-0654-1313,G051,G061; G018,PR009,,,,
P012,Rico Sennrich,,,,,,,,https://orcid.org/0000-0002-1438-4741,G015,,,,,,
P013,Lucas Burkart,,,,,,,,https://orcid.org/0000-0002-9011-5113,G057,G054,PR013,,,,
P014,Moniek Kuijpers,,,,,,,,https://orcid.org/0000-0002-3676-5879,G001,PR017,PR006,,,,
P015,Alassi Sepideh,,,,,,,,https://orcid.org/0000-0002-5627-9501,G001,PR004,PR005,,,,
P016,Vera Chiquet,,,,,,,,https://orcid.org/0000-0001-5925-2956,G001,G018; G054,PR001,,,,
P017,Moritz Mähr,,,,,,,,https://orcid.org/0000-0002-1367-1618,G057,G002; G054; G018,,,,,
P018,Elena Spadini,,,,,,,,https://orcid.org/0000-0002-4522-2833,G014,G002,,,,,
P019,Yannick Rochat,,,,,,,,https://orcid.org/0000-0002-9588-9855,G016,G020,PR002,,,,
P020,Cristina Grisot,,,,,,,,https://orcid.org/0000-0003-0684-4442,G012; G022,G061,,,,,
P021,Simon Gabay,,,,,,,,https://orcid.org/0000-0001-9094-4475,G004,G018,PR016,,,,
P022,Thomas Hänsli,,,,,,,,https://orcid.org/0000-0001-7818-5605,G010; G060,G061; PR010; G082,PR009,,,,
P023,Florian Kräutli,,,,,,,,https://orcid.org/0000-0001-9039-0900,G010,,,,,,
P024,Eugen Pfister,,,,,,,,https://orcid.org/0000-0003-3422-4697,G027,G002,PR002,,,,
P025,Grégoire Malland,,,,,,,,,G052,,,,,,
P026,Davide Rodogno,,,,,,,,https://orcid.org/0000-0002-0947-4515,G052,,,,,,
P027,Maud Ehrmann,,,,,,,,https://orcid.org/0000-0001-9900-2193,G006,,PR003,,,,
P028,Ranjodh Singh Dhaliwal,,,,,,,,https://orcid.org/0000-0002-9826-0614,G001,,,,,,
P029,Rosa Lavelle-Hill  ,,,,,,,,https://orcid.org/0000-0002-1767-9828,G001,,,,,,
P030,Enrico Natale,,,,,,,,https://orcid.org/0000-0002-0967-5931,G031,G054; PR003,,,,,
P031,Julien A. Raemy,,,,,,,,https://orcid.org/0000-0002-4711-5759,G066,G002; G018; G049; G054; G081; G082,PR001,,,,
P032,Katharina Böhmer,,,,,,,,https://orcid.org/0009-0003-7269-6780,G002,,,,,,
P033,Sebastian Borkowski,,,,,,,,,G002,,,,,,
P034,Joseph Chataignon,,,,,,,,,G002,,,,,,
P035,Peter Dängeli,,,,,,,,https://orcid.org/0000-0003-3576-7474,G002,,,,,,
P036,Adrian Demleitner,,,,,,,,https://orcid.org/0000-0001-9918-7300,G002; G027,G054; G018,PR001; PR002,,,,
P037,Sebastian Flick,,,,,,,,,G002,,,,,,
P038,Stephen Hart,,,,,,,,https://orcid.org/0009-0003-6556-5512,G002,,PR007,,,,
P039,Ursula Loosli,,,,,,,,https://orcid.org/0000-0002-1480-315X,G002,,,,,,
P040,Christa Schneider,,,,,,,,https://orcid.org/0000-0001-9741-0601,G002,,,,,,
P041,Dominic Weber,,,,,,,,https://orcid.org/0000-0002-9265-3388,G002; G057,G054,,,,,
P042,Katharina Scheller,,,,,,,,https://orcid.org/0000-0002-6528-9445,G002,,,,,,
P043,Jonas Widmer,,,,,,,,,G002,,PR013,,,,
P044,Yangying Mao,,,,,,,,,G002,,,,,,
P045,Addrich Mauch,,,,,,,,,G002,,,,,,
P046,Gaétan Muck,,,,,,,,,G002,,,,,,
P047,Ismail Prada Ziegler,,,,,,,,https://orcid.org/0000-0003-4229-8688,G002,,PR013,,,,
P048,Florian Matter,,,,,,,,,,G002,,,,,
P049,Vlad Atanasiu,,,,,,,,https://orcid.org/0000-0001-7457-7089,,G002,,,,,
P050,Tao Fan,,,,,,,,https://orcid.org/0000-0002-6846-2901,,G002,,,,,
P051,Sonja Gasser,,,,,,,,https://orcid.org/0000-0003-0112-4841,,G002,,,,,
P052,Rachel Huber,,,,,,,,https://orcid.org/0000-0002-6022-5354,G062,G002,,,,,
P053,Katarzyna Langenegger,,,,,,,,https://orcid.org/0000-0003-1244-3346,,G002,PR004,,,,
P054,Laurent Pugin,,,,,,,,https://orcid.org/0000-0002-9525-4331,G077,G002; G076,,,,,
P055,Annemieke C. Romein,,,,,,,,https://orcid.org/0000-0003-3682-0126,,G002,,,,,
P056,Michael Schonhardt,,,,,,,,https://orcid.org/0000-0002-2750-1900,,G002,,,,,
P057,Jan Baumann,,,,,,,,,G031,G054,,,,,
P058,Laura Bitterli,,,,,,,,,G058,G054,,,,,
P059,Nicolas Chachereau,,,,,,,,,G057; G009,G054,,,,,
P060,Lorenz Dändliker,,,,,,,,,G058,G054,,,,,
P061,Moritz J. Feichtinger,,,,,,,,https://orcid.org/0000-0003-1260-8884,G057,G054,,,,,
P062,Pascal Föhr,,,,,,,,https://orcid.org/0009-0005-0887-2131,G068,G054,,,,,
